Start Time,Stop Time,Initial Speaker,From,To,Protocol,Duration,Packets,State,Comments,
8856.907886,8856.924071,10.200.110.100,"""bot50","<sip:bot50@10.200.110.100>""",<sip:bot62@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
8857.035645,8937.129537,10.200.110.100,"""bot56","<sip:bot56@10.200.110.100>""",<sip:bot52@10.200.110.111>,SIP,12:01:20 AM,10,COMPLETED,INVITE 401 200
8857.284032,8937.146033,10.200.110.111,"""bot56","<sip:bot56@10.200.110.111>""",<sip:bot52@10.200.110.100:8552>,SIP,12:01:19 AM,7,COMPLETED,INVITE 200
9097.031626,9177.794746,10.200.110.100,"""bot52","<sip:bot52@10.200.110.100>""",<sip:bot59@10.200.110.111>,SIP,12:01:20 AM,10,COMPLETED,INVITE 401 200
9097.042309,9177.811535,10.200.110.111,"""bot52","<sip:bot52@10.200.110.111>""",<sip:bot59@10.200.110.100:8559>,SIP,12:01:20 AM,7,COMPLETED,INVITE 200
9097.089841,9097.105156,10.200.110.100,"""bot58","<sip:bot58@10.200.110.100>""",<sip:bot64@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
9337.023332,9406.848305,10.200.110.100,"""bot51","<sip:bot51@10.200.110.100>""",<sip:bot52@10.200.110.111>,SIP,12:01:09 AM,10,COMPLETED,INVITE 401 200
9337.035927,9406.862499,10.200.110.111,"""bot51","<sip:bot51@10.200.110.111>""",<sip:bot52@10.200.110.100:8552>,SIP,12:01:09 AM,7,COMPLETED,INVITE 200
9397.069276,9460.501443,10.200.110.100,"""bot54","<sip:bot54@10.200.110.100>""",<sip:bot54@10.200.110.111>,SIP,12:01:03 AM,10,COMPLETED,INVITE 401 200
9397.080686,9460.50831,10.200.110.111,"""bot54","<sip:bot54@10.200.110.111>""",<sip:bot54@10.200.110.100:8554>,SIP,12:01:03 AM,7,COMPLETED,INVITE 200
9456.972479,9509.916013,10.200.110.100,"""bot55","<sip:bot55@10.200.110.100>""",<sip:bot50@10.200.110.111>,SIP,12:00:52 AM,10,COMPLETED,INVITE 401 200
9456.983388,9509.933421,10.200.110.111,"""bot55","<sip:bot55@10.200.110.111>""",<sip:bot50@10.200.110.100:8550>,SIP,12:00:52 AM,7,COMPLETED,INVITE 200
9577.058764,9625.238145,10.200.110.100,"""bot57","<sip:bot57@10.200.110.100>""",<sip:bot50@10.200.110.111>,SIP,12:00:48 AM,10,COMPLETED,INVITE 401 200
9577.090518,9625.255984,10.200.110.111,"""bot57","<sip:bot57@10.200.110.111>""",<sip:bot50@10.200.110.100:8550>,SIP,12:00:48 AM,7,COMPLETED,INVITE 200
9637.041799,9637.057168,10.200.110.100,"""bot52","<sip:bot52@10.200.110.100>""",<sip:bot63@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
9696.90304,9696.919283,10.200.110.100,"""bot59","<sip:bot59@10.200.110.100>""",<sip:bot63@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
9697.119955,9697.13188,10.200.110.100,"""bot60","<sip:bot60@10.200.110.100>""",<sip:bot63@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
9817.043682,9869.860893,10.200.110.100,"""bot56","<sip:bot56@10.200.110.100>""",<sip:bot60@10.200.110.111>,SIP,12:00:52 AM,10,COMPLETED,INVITE 401 200
9817.115885,9869.869223,10.200.110.111,"""bot56","<sip:bot56@10.200.110.111>""",<sip:bot60@10.200.110.100:8560>,SIP,12:00:52 AM,7,COMPLETED,INVITE 200
